store_id,store_name,state,postcode,latitude,longitude,region
CW_OSM_NODE_322726142,Chemist Warehouse - Clontarf,QLD,4031,-27.3938508,153.0305657,QLD
CW_OSM_NODE_1247865789,Chemist Warehouse - Narre Warren,VIC,3805,-38.0251064,145.3061318,VIC & TAS
CW_OSM_NODE_1611289093,Chemist Warehouse - Parramatta,NSW,2150,-33.8149108,151.0031479,NSW & ACT
CW_OSM_NODE_1940682792,Chemist Warehouse - Launceston,TAS,7250,-41.4389610,147.1380907,VIC & TAS
CW_OSM_NODE_3412142755,Chemist Warehouse - South Yarra,VIC,3141,-37.8392187,144.9946717,VIC & TAS
CW_OSM_NODE_4733654589,Chemist Warehouse - North Melbourne,VIC,3051,-37.8045008,144.9491555,VIC & TAS
CW_OSM_NODE_5035371028,Chemist Warehouse - Southport,QLD,4215,-27.9685119,153.4146881,QLD
CW_OSM_NODE_5338209231,Chemist Warehouse - Bondi Junction,NSW,2022,-33.8920988,151.2475508,NSW & ACT
CW_OSM_NODE_5579882858,Chemist Warehouse - Fairfield,VIC,3078,-37.7764114,145.0183285,VIC & TAS
CW_OSM_NODE_7178732255,Chemist Warehouse - Penrith,NSW,2750,-33.7533419,150.6968816,NSW & ACT
CW_OSM_NODE_8067597350,Chemist Warehouse - Long Gully,VIC,3550,-36.7464014,144.2583710,VIC & TAS
CW_OSM_NODE_8724425424,Chemist Warehouse - Warrnambool,VIC,3280,-38.3805700,142.5204488,VIC & TAS
CW_OSM_NODE_9109422781,Chemist Warehouse - Hawthorn East,VIC,3123,-37.8459633,145.0417374,VIC & TAS
CW_OSM_NODE_9313328317,Chemist Warehouse - Blacktown,NSW,2148,-33.7695243,150.9064783,NSW & ACT
CW_OSM_NODE_9387639455,Chemist Warehouse - North Hobart,TAS,7000,-42.8744390,147.3162616,VIC & TAS
CW_OSM_NODE_9916996777,Chemist Warehouse - Redland,QLD,4163,-27.5419158,153.2503913,QLD
CW_OSM_NODE_9921086906,Chemist Warehouse - Mount Cotton,QLD,4165,-27.6389040,153.2488688,QLD
CW_OSM_NODE_10221035027,Chemist Warehouse - Caboolture,QLD,4510,-27.0422480,152.9746233,QLD
CW_OSM_NODE_10250310685,Chemist Warehouse - Forest Hill,VIC,3131,-37.8416194,145.1718389,VIC & TAS
CW_OSM_NODE_10763239140,Chemist Warehouse - Townsville City,QLD,4810,-19.2592943,146.8153946,QLD
CW_OSM_NODE_10888687545,Chemist Warehouse - Croydon Central,VIC,3136,-37.7938085,145.2793335,VIC & TAS
CW_OSM_NODE_11185872530,Chemist Warehouse - Docklands,VIC,3008,-37.8119887,144.9388280,VIC & TAS
CW_OSM_NODE_12144109077,Chemist Warehouse - Botany,NSW,2019,-33.9447673,151.1963548,NSW & ACT
CW_OSM_NODE_12825845914,Chemist Warehouse - Windsor Home Zone Centre,QLD,4030,-27.4372412,153.0232176,QLD
CW_OSM_NODE_12894226286,Chemist Warehouse - Wodonga,VIC,3690,-36.1221607,146.8883287,VIC & TAS
CW_OSM_WAY_28867408,Chemist Warehouse - Knoxfield,VIC,3180,-37.8763371,145.2560656,VIC & TAS
CW_OSM_WAY_138871458,Chemist Warehouse - Kew,VIC,3101,-37.8070304,145.0294548,VIC & TAS
CW_OSM_WAY_209945192,Chemist Warehouse - Shellharbour City Centre,NSW,2529,-34.5663083,150.8292928,NSW & ACT
CW_OSM_WAY_212544367,Chemist Warehouse - Lindisfarne,TAS,7015,-42.8474293,147.3530641,VIC & TAS
CW_OSM_WAY_228923214,Chemist Warehouse - Moonah,TAS,7009,-42.8473513,147.2949420,VIC & TAS
CW_OSM_WAY_230526031,Chemist Warehouse - Sunshine,VIC,3020,-37.7840928,144.8326041,VIC & TAS
CW_OSM_WAY_328660799,Chemist Warehouse - Box Hill,VIC,3128,-37.8177510,145.1244637,VIC & TAS
CW_OSM_WAY_328748063,Chemist Warehouse - Ringwood,VIC,3134,-37.8158096,145.2267657,VIC & TAS
CW_OSM_WAY_371549724,Chemist Warehouse - Port Macquarie,NSW,2444,-31.4347996,152.9059754,NSW & ACT
CW_OSM_WAY_512839354,Chemist Warehouse - Toowong,QLD,4066,-27.4856685,152.9910613,QLD
CW_OSM_WAY_634766990,Chemist Warehouse - St Albans,VIC,3021,-37.7446504,144.8008745,VIC & TAS
CW_OSM_WAY_687879223,Chemist Warehouse - Mildura,VIC,3500,-34.1869327,142.1586659,VIC & TAS
CW_OSM_WAY_709059265,Chemist Warehouse - Camberwell,VIC,3124,-37.8313483,145.0588607,VIC & TAS
CW_OSM_WAY_823463809,Chemist Warehouse - Bendigo,VIC,3550,-36.7630305,144.2827813,VIC & TAS
CW_OSM_WAY_966234669,Chemist Warehouse - Ashford,SA,5035,-34.9478291,138.5784635,SA & NT
CW_OSM_WAY_980769148,Chemist Warehouse - Ringwood Lake,VIC,3134,-37.8119406,145.2353018,VIC & TAS
CW_OSM_WAY_1042087034,Chemist Warehouse - Lilydale,VIC,3140,-37.7548220,145.3614581,VIC & TAS
CW_OSM_WAY_1146544073,Chemist Warehouse - Hobart,TAS,7000,-42.8824693,147.3289712,VIC & TAS
CW_OSM_WAY_1155155731,Chemist Warehouse - Carseldine,QLD,4036,-27.3336882,153.0102822,QLD
CW_OSM_WAY_1206505692,Chemist Warehouse - North Tamworth,NSW,2340,-31.0806789,150.9210612,NSW & ACT
CW_OSM_WAY_1253597634,Chemist Warehouse - Greenvale,VIC,3059,-37.6505131,144.8959081,VIC & TAS
CW_OSM_WAY_1343272642,Chemist Warehouse - Chirnside Park,VIC,3116,-37.7574037,145.3138741,VIC & TAS
CW_OSM_WAY_1354763631,Chemist Warehouse - Ferntree Gully,VIC,3156,-37.8880892,145.2900115,VIC & TAS
CW_OSM_WAY_1422442167,Chemist Warehouse - Northfield,SA,5085,-34.8516545,138.6180113,SA & NT
CW_OSM_WAY_1503265526,Chemist Warehouse - Croydon,VIC,3136,-37.7991449,145.2835966,VIC & TAS
CW_OSM_NODE_7281064032,Chemist Warehouse - Wollongong,NSW,2500,-34.4239195,150.8926956,NSW & ACT
CW_OSM_NODE_2632039770,Chemist Warehouse - Essendon,VIC,3040,-37.7553276,144.9187283,VIC & TAS
CW_OSM_NODE_3270433151,Chemist Warehouse - Brighton,VIC,3186,-37.9055828,145.0042629,VIC & TAS
CW_OSM_NODE_4388493889,Chemist Warehouse - Maroochydore,QLD,4558,-26.6515007,153.0815353,QLD
CW_OSM_NODE_4928568027,Chemist Warehouse - Double Bay,NSW,2028,-33.8774667,151.2443466,NSW & ACT
CW_OSM_NODE_5153140747,Chemist Warehouse - Cranbourne,VIC,3977,-38.0848364,145.2911830,VIC & TAS
CW_OSM_NODE_11895994369,Chemist Warehouse - GPO,NT,0800,-12.4608319,130.8416269,SA & NT
CW_OSM_WAY_631587089,Chemist Warehouse - Carnegie,VIC,3163,-37.8848938,145.0581865,VIC & TAS
CW_OSM_NODE_2609018136,Chemist Warehouse - Victoria Point,QLD,4165,-27.5859022,153.2782899,QLD
CW_OSM_NODE_3159172027,Chemist Warehouse - Hunter Street,NSW,2077,-33.7034776,151.1005440,NSW & ACT
CW_OSM_NODE_4189379266,Chemist Warehouse - Sydney Road,VIC,3056,-37.7672928,144.9619446,VIC & TAS
CW_OSM_NODE_4737561821,Chemist Warehouse - Flinders Street,VIC,3000,-37.8179035,144.9652766,VIC & TAS
CW_OSM_NODE_5009316626,Chemist Warehouse - Tarniet Road,VIC,3029,-37.8397477,144.6747387,VIC & TAS
CW_OSM_NODE_5318460122,Chemist Warehouse - Murray Street,WA,6000,-31.9540048,115.8618137,WA
CW_OSM_NODE_5584399021,Chemist Warehouse - South Road,SA,5042,-34.9950985,138.5742086,SA & NT
CW_OSM_NODE_10313858720,Chemist Warehouse - Sydney Road (10313858720),VIC,3056,-37.7751208,144.9609141,VIC & TAS
CW_OSM_NODE_11061420290,Chemist Warehouse - Liverpool Road,NSW,2131,-33.8882400,151.1236778,NSW & ACT
CW_OSM_WAY_185917736,Chemist Warehouse - Fitzgerald Street,WA,6006,-31.9322115,115.8594940,WA
CW_OSM_WAY_409717351,Chemist Warehouse - Aquatic Place,QLD,4701,-23.3565949,150.5188953,QLD
CW_OSM_WAY_631587136,Chemist Warehouse - Koornang Road,VIC,3163,-37.8873187,145.0570985,VIC & TAS
CW_OSM_NODE_598404517,Chemist Warehouse - Melbourne,VIC,,-37.8143003,144.9635839,VIC & TAS
